"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"89","Rashee Rice","WR","KC",216,9.69,0.649,199,225,9.3,14.7,-11,89,85,134,33,"7",75.2,10.6,17
"90","Terry McLaurin","WR","WAS",215,18.6,0.787,195,245,8.65,11.2,9.15,90,90,82,34,"7",75.8,12.3,41
"91","Harrison Butker","K","KC",156,6.25,0.408,149,166,8.48,11.8,7.49,91,89,86,3,"1",116,2.98,3
"92","Younghoe Koo","K","ATL",156,16.9,4.52,144,188,8.07,6.93,29.3,92,92,53,4,"2",141,1.77,55
"93","Calvin Ridley","WR","TEN",214,10.9,7.86,207,237,7.86,22.9,1.14,93,79,99,35,"7",76.7,10.6,14
"94","Brock Bowers","TE","LVR",156,26.5,6.43,103,183,6.43,-11.4,1.38,94,138,98,12,"6",108,7.61,62
"95","Brock Purdy","QB","SF",298,17.4,5.39,269,317,6.04,6.57,-0.488,95,93,105,11,"4",91.7,6.8,3
"96","Greg Zuerlein","K","NYJ",151,4.31,2.59,146,158,3.56,8.32,-1.02,96,91,107,5,"2",161,1.59,32
"97","Jets","DST","NYJ",100,10.3,0.568,89.2,112,1.23,-0.225,-0.89,97,105,106,1,"1",118,2.32,26
"98","Jason Myers","K","SEA",149,11.4,0.64,134,165,0.961,-3.58,5.83,98,113,88,6,"2",162,1.3,48
"99","Cowboys","DST","DAL",99.8,7.82,0.663,89.9,109,0.663,0.538,-3.57,99,100,114,2,"1",116,2.46,19
"100","Caleb Williams","QB","CHI",292,21.4,0.654,262,316,0.654,0,-1.77,100,103,109,12,"4",105,8.9,51
"101","Jake Elliott","K","PHI",148,7.95,0.321,139,162,0.321,1.6,2.8,101,98,95,7,"2",145,2.33,19
"102","Chase Brown","RB","CIN",159,14.3,0.18,135,178,0.18,4.23,-23.7,102,96,176,34,"8",107,6.42,14
"103","Jayden Daniels","QB","WAS",292,23.9,1.02,265,318,0,2.65,0.442,103,97,102,13,"4",101,10.1,63
"104","Ezekiel Elliott","RB","DAL",159,14.9,4.48,131,178,0,0,-24,103,103,178,35,"9",115,5.28,31
"105","Diontae Johnson","WR","CAR",206,17.1,2.29,184,237,0,0.534,1.46,103,101,97,36,"7",94,7.97,44
"106","Dalton Schultz","TE","HOU",149,11,2.89,132,165,0,17.9,-16.1,103,82,150,13,"6",128,3.81,9
"107","Evan McPherson","K","CIN",148,7.94,0.407,138,157,0,0.226,-1.93,103,102,111,8,"2",146,2.11,16
"108","Ravens","DST","BAL",99.1,8.78,1.08,89.4,113,0,0,0,103,103,103,3,"2",113,2.58,23
"109","Kaimi Fairbairn","K","HOU",147,10.6,0.618,137,163,-0.407,-0.16,3.94,104,104,93,9,"2",146,2.14,23
"110","Trevor Lawrence","QB","JAC",291,19.8,5.74,257,317,-1.02,-5.1,0,105,116,103,14,"5",120,5.14,31
"111","Cameron Dicker","K","LAC",147,9.54,2.33,129,158,-1.03,-7.92,-1.42,106,125,108,10,"2",157,1.37,35
"112","Browns","DST","CLE",98,11.7,2.24,86.3,118,-1.08,-3.05,4.58,107,111,90,4,"3",119,2.07,39
"113","Jayden Reed","WR","GB",204,18.5,8.86,184,230,-2.29,0,-5.7,108,103,119,37,"8",85.8,5.06,53
"114","T.J. Hockenson","TE","MIN",146,30.6,2.53,92.3,183,-2.89,-22,1.12,109,172,100,14,"6",129,5.24,91
"115","Colts","DST","IND",95.8,14.8,1.14,77.6,116,-3.32,-11.7,3.24,110,139,94,5,"4",166,0.5,90
"116","Matt Gay","K","IND",144,7.76,0.0697,136,156,-3.36,-1.13,-3.25,111,107,113,11,"2",166,1.28,26
"117","Blake Grupe","K","NO",144,11.4,0.55,128,159,-3.43,-8.94,-0.113,112,132,104,12,"2",166,0.984,74
"118","Tyler Bass","K","BUF",144,7.82,0.124,137,156,-3.97,0,-2.64,113,103,112,13,"2",164,1.26,13
"119","Jake Moody","K","SF",144,7.09,0.0624,133,153,-4.1,-4.78,-6.3,114,115,123,14,"2",153,1.6,10
"120","Cairo Santos","K","CHI",144,11,0.514,130,159,-4.16,-7.68,0,115,124,103,15,"2",167,1.56,42
"121","Texans","DST","HOU",94.6,11.2,0.179,82.2,109,-4.47,-7.17,-3.95,116,120,115,6,"4",158,0.6,35
"122","Jerome Ford","RB","CLE",154,27,6.61,109,186,-4.48,-22.3,-15.4,117,175,148,36,"9",110,6.59,68
"123","49ers","DST","SF",94.5,4.8,1.18,90.2,103,-4.64,0.804,-10.2,118,99,131,7,"5",107,2.73,3
"124","Jason Sanders","K","MIA",143,6.83,3.22,137,155,-4.68,-0.754,-4.36,119,106,118,16,"3",163,1.43,6
"125","Pat Freiermuth","TE","PIT",144,23.1,0.291,104,172,-5.42,-9.98,-9.89,120,134,129,15,"6",133,3.04,53
"126","Cole Kmet","TE","CHI",143,32.2,12.4,93.1,177,-5.71,-21.2,-4.02,121,168,116,16,"7",137,2.95,99
"127","Bills","DST","BUF",93.3,10.1,0.343,81.2,106,-5.82,-8.18,-7.49,122,128,126,8,"5",136,0.917,45
"128","Chiefs","DST","KC",92.9,4.5,0.257,85.5,98.1,-6.17,-3.85,-14.9,123,114,144,9,"5",140,1.18,1
"129","Eagles","DST","PHI",92.7,8.92,0.357,82.1,102,-6.42,-7.27,-11.1,124,121,135,10,"6",160,0.65,29
"130","Jared Goff","QB","DET",285,21.5,1.83,247,313,-6.76,-14.9,-4.19,125,155,117,15,"5",110,6.9,29
"131","Steelers","DST","PIT",92.3,5.01,0.929,86,99,-6.78,-3.4,-14,126,112,142,11,"7",140,1.37,6
"132","Dolphins","DST","MIA",91.4,9.03,2.38,82.1,104,-7.71,-7.3,-9.24,127,122,128,12,"8",148,1.03,32
"133","Cam Little","K","JAC",140,10.8,0.967,129,157,-7.89,-8.02,-1.79,128,126,110,17,"3",170,0,84
"134","Tua Tagovailoa","QB","MIA",283,23.3,2.22,253,328,-8.59,-8.9,10.7,129,131,78,16,"5",107,6.4,40
"135","Daniel Carlson","K","LVR",139,10.5,1.42,123,150,-8.86,-14.7,-8.84,130,153,127,18,"3",167,1.26,61
"136","Bengals","DST","CIN",89,10.1,2.49,74.6,102,-10.1,-14.8,-11,131,154,133,13,"9",151,0.85,65
"137","Dustin Hopkins","K","CLE",137,10,0.316,124,153,-10.3,-12.9,-6.08,132,144,121,19,"3",139,0.998,45
"138","Chris Boswell","K","PIT",137,4.66,0.0628,131,144,-10.6,-6.19,-15.3,133,118,146,20,"3",164,0.972,71
"139","Chase McLaughlin","K","TB",137,7.48,0.671,124,146,-10.7,-13.7,-13.2,134,148,140,21,"3",184,0.912,87
"140","Justin Herbert","QB","LAC",281,21.3,6.64,256,307,-10.8,-6.16,-10.2,135,117,130,17,"5",127,5.76,49
"141","Nick Chubb","RB","CLE",148,34.4,3.19,111,195,-11.1,-20.5,-6.12,136,165,122,37,"9",92.9,9.67,90
"142","Jaxon Smith-Njigba","WR","SEA",195,20.9,1.38,171,230,-11.1,-12.6,-5.81,137,141,120,38,"8",107,5.23,61
"143","Matt Prater","K","ARI",136,4.92,0.931,130,142,-11.3,-7.53,-17,138,123,151,22,"3",169,0,58
"144","Joshua Karty","K","LAR",135,7.82,1.25,126,146,-12.3,-11.2,-12.6,139,136,138,23,"3",170,0,52
"145","Jordan Addison","WR","MIN",194,21.5,0.164,157,223,-12.5,-26.8,-13,140,183,139,39,"8",119,3.41,70
"146","Raiders","DST","LVR",86.5,4.22,0.163,81.1,92.3,-12.6,-8.24,-20.7,141,129,167,14,"9",168,0.5,42
"147","DeAndre Hopkins","WR","TEN",194,21.5,0.57,171,236,-12.7,-12.8,0,142,142,103,40,"8",106,6.99,63
"148","Seahawks","DST","SEA",86.4,6.5,0.457,75.7,92.8,-12.7,-13.7,-20.2,143,149,163,15,"10",170,0.6,58
"149","Saints","DST","NO",85.9,6.4,0.368,75.6,92.5,-13.2,-13.8,-20.5,144,150,166,16,"10",161,1,13
"150","Christian Watson","WR","GB",193,25.2,7.81,163,225,-13.3,-20.4,-10.8,145,164,132,41,"8",98.6,4.91,81
"151","Jake Bates","K","DET",134,9.54,1.03,118,147,-13.5,-19.2,-12.2,146,163,137,24,"4",170,1.7,77
"152","Giants","DST","NYG",85.5,8.39,0.202,72.7,95.3,-13.6,-16.7,-17.7,147,157,153,17,"11",185,0.5,74
"153","Jaguars","DST","JAC",85.3,3.92,0.0868,79.6,91.8,-13.8,-9.83,-21.2,148,133,170,18,"11",166,0.4,16
"154","Packers","DST","GB",85.3,9.72,0.151,67.1,92.9,-13.9,-22.3,-20.1,149,174,161,19,"11",169,1.05,61
"155","Lions","DST","DET",85.1,11.1,0.758,66.5,98.1,-14,-22.9,-15,150,176,145,20,"12",166,0.8,68
"156","Gus Edwards","RB","LAC",145,37.5,0.308,92,208,-14.3,-39.2,6.52,151,207,87,38,"9",104,5.94,87
"157","Wil Lutz","K","DEN",133,6.61,1.75,124,141,-14.5,-13,-18,152,145,154,25,"4",172,0.984,65
