"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"138","Kerby Joseph","DB","DET",6.16,0.812,0.0959,5.68,7.12,0,0.258,-0.359,130,109,165,10,"2",NA,NA,20
"139","Keion White","DL","NE",3.17,0.53,0.00179,2.81,3.54,-0.0137,0.00558,-0.61,131,128,198,11,"3",NA,NA,30
"140","Nick Bosa","DL","SF",3.17,0.661,0.0478,2.65,3.91,-0.0155,-0.15,-0.243,132,140,147,12,"3",NA,NA,49
"141","Pat Freiermuth","TE","PIT",7.99,0.868,0.0432,7.06,9.12,-0.0204,0.382,-0.0515,133,100,134,14,"6",NA,NA,35
"142","Tyler Lockett","WR","SEA",10.7,0.863,0.0784,9.66,12.1,-0.0315,0.426,-0.0885,134,97,137,37,"7",NA,NA,15
"143","Bills","DST","BUF",5.41,1.42,0.082,4.07,7.58,-0.047,-0.733,0.889,135,216,85,4,"3",NA,NA,99
"144","Brian Burns","DL","NYG",3.12,0.658,0.0376,2.69,3.89,-0.0633,-0.114,-0.26,136,139,150,13,"3",NA,NA,47
"145","Colby Parkinson","TE","LAR",7.94,1.44,0.223,5.47,9.17,-0.0636,-1.21,0,137,311,130,15,"6",NA,NA,88
"146","Trevor Lawrence","QB","JAC",16.8,1.16,0.258,15.3,18.2,-0.0767,0.504,-0.491,138,91,177,14,"5",NA,NA,38
"147","Brandon Jones","DB","DEN",6.07,0.867,0.00279,5.43,7.05,-0.0959,0,-0.424,139,130,171,11,"2",NA,NA,27
"148","Camryn Bynum","DB","MIN",6.06,1.01,0.0523,5.21,7.14,-0.0987,-0.212,-0.34,140,145,160,12,"2",NA,NA,39
"149","Jared Verse","DL","LAR",3.08,0.801,0.0582,2.31,3.71,-0.101,-0.491,-0.442,141,178,174,14,"4",NA,NA,62
"150","Xavier Worthy","WR","KC",10.7,1.54,0.264,8.45,13.3,-0.11,-0.783,1.07,142,223,74,38,"8",NA,NA,72
"151","Broncos","DST","DEN",5.33,0.272,0.0307,5.01,5.71,-0.129,0.206,-0.986,143,112,255,5,"4",NA,NA,7
"152","Tyrone Tracy","RB","NYG",8,1.31,0.00326,5.83,9.25,-0.142,-0.601,-0.992,144,191,257,36,"9",NA,NA,52
"153","Bucky Irving","RB","TB",8,1.43,0.502,6.34,10.5,-0.146,-0.0929,0.305,145,134,108,37,"10",NA,NA,72
"154","Xavier Woods","DB","CAR",6.01,0.888,0.0223,5.21,6.88,-0.151,-0.216,-0.596,146,146,196,13,"2",NA,NA,31
"155","Harold Landry","DL","TEN",3.03,0.283,0.0102,2.81,3.2,-0.159,0.0042,-0.953,147,129,246,15,"4",NA,NA,13
"156","Giants","DST","NYG",5.3,0.873,0.231,4.45,6.55,-0.16,-0.359,-0.142,148,160,140,6,"5",NA,NA,83
"157","Khalil Mack","DL","LAC",3.02,0.354,0.0166,2.8,3.29,-0.169,0,-0.86,149,130,232,16,"4",NA,NA,19
"158","Chase McLaughlin","K","TB",8.53,0.603,0.29,7.74,9.19,-0.171,0.25,-0.377,150,110,167,9,"2",NA,NA,3
"159","Grant Delpit","DB","CLE",5.99,1.12,0.00882,5.32,7.31,-0.173,-0.105,-0.169,151,136,143,14,"2",NA,NA,49
"160","Minkah Fitzpatrick","DB","PIT",5.98,1.33,0.0459,5.25,7.55,-0.182,-0.172,0.0739,152,141,124,15,"2",NA,NA,73
"161","Dennis Gardeck","DL","ARI",3,NA,0.00804,NA,NA,-0.186,NA,NA,153,NA,NA,17,"4",NA,NA,NA
"162","Cameron Heyward","DL","PIT",2.99,0.559,0.0385,2.61,3.38,-0.194,-0.194,-0.771,154,143,219,18,"4",NA,NA,36
"163","Jeremiah Owusu-Koramoah","LB","CLE",6.76,1.76,0.124,5.8,8.84,-0.218,0.159,-0.504,155,116,180,11,"1",NA,NA,31
"164","Paulson Adebo","DB","NO",5.93,0.483,0.101,5.6,6.49,-0.228,0.174,-0.984,156,115,254,16,"2",NA,NA,5
"165","Carl Granderson","DL","NO",2.95,1.1,0.0291,2.12,4.22,-0.232,-0.684,0.0749,157,206,123,19,"4",NA,NA,81
"166","Dexter Lawrence","DL","NYG",2.92,1.21,0.0243,2.21,4.35,-0.261,-0.597,0.2,158,190,114,20,"4",NA,NA,91
"167","Anfernee Jennings","DL","NE",2.9,0,0.0115,2.9,2.9,-0.286,0.0957,-1.25,159,122,282,21,"4",NA,NA,1
"168","Hunter Henry","TE","NE",7.72,0.98,0.261,6.35,8.82,-0.287,-0.327,-0.35,160,157,162,16,"6",NA,NA,50
"169","Quinnen Williams","DL","NYJ",2.89,1.07,0.00269,2.26,4.15,-0.297,-0.54,0,161,184,130,22,"4",NA,NA,79
"170","Sam Hubbard","DL","CIN",2.89,0.688,0.0717,2.25,3.52,-0.3,-0.558,-0.629,162,185,201,23,"4",NA,NA,57
"171","Kyle Hamilton","DB","BAL",5.83,0.991,0.0131,5.03,6.91,-0.329,-0.399,-0.563,163,165,189,17,"2",NA,NA,34
"172","Sam Darnold","QB","MIN",16.6,2.03,0.147,13.5,18.7,-0.335,-1.26,0,164,314,130,15,"5",NA,NA,82
"173","Kamren Curl","DB","LAR",5.82,1.88,0.0237,4.53,7.12,-0.342,-0.89,-0.353,165,235,163,18,"2",NA,NA,98
"174","Cody Barton","LB","DEN",6.64,2.02,0.0817,5.41,9.02,-0.343,-0.231,-0.327,166,148,157,12,"1",NA,NA,59
