"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"259","Keaontay Ingram","RB","ARI",3.55,1.51,0.231,1.56,5.41,-4.84,-4.14,-5.61,254,239,252,62,"15",NA,NA,70
"260","Donald Parham","TE","LAC",2.85,0.672,0.319,2.11,3.87,-4.84,-4.21,-5.61,255,242,251,45,"13",NA,NA,36
"261","Kendrick Bourne","WR","NE",6.68,2.14,0.249,3.87,9.68,-5.02,-5.45,-3.77,256,319,208,70,"12",NA,NA,81
"262","Reggie Gilliam","RB","BUF",3.32,NA,0.0638,NA,NA,-5.07,NA,NA,257,NA,NA,63,"15",NA,NA,NA
"263","Kyle Juszczyk","RB","SF",3.26,0.887,0.137,2.54,4.67,-5.13,-3.16,-6.35,258,221,264,64,"15",NA,NA,37
"264","Tommy Tremble","TE","CAR",2.53,0.6,0.104,1.87,3.17,-5.16,-4.46,-6.31,259,256,262,46,"14",NA,NA,30
"265","Isiah Pacheco","RB","KC",3.12,1.83,0.0394,1.33,6.34,-5.27,-4.37,-4.68,262,250,229,65,"15",NA,NA,80
"266","DeAndre Carter","WR","LAC",6.43,1.35,0.888,4.57,7.67,-5.27,-4.75,-5.78,261,275,254,71,"13",NA,NA,55
"267","Quintin Morris","TE","BUF",2.43,0.706,0.00937,1.38,3.16,-5.27,-4.95,-6.33,260,290,263,47,"14",NA,NA,40
"268","Ryan Griffin","TE","CHI",2.42,0.843,0.0485,1.17,3.37,-5.28,-5.16,-6.11,263,308,259,48,"14",NA,NA,55
"269","Sony Michel","RB","LAC",3.08,1.46,0.104,1.08,4.29,-5.31,-4.62,-6.73,264,268,275,66,"15",NA,NA,65
"270","Dan Arnold","TE","JAC",2.37,0.82,0.00564,1.51,3.35,-5.32,-4.81,-6.13,265,281,260,49,"14",NA,NA,54
"271","Jake Ferguson","TE","DAL",2.36,0.304,0.0512,2.01,2.69,-5.33,-4.31,-6.79,266,246,279,50,"14",NA,NA,12
"272","Noah Gray","TE","KC",2.31,0.394,0.013,1.63,2.69,-5.38,-4.69,-6.8,267,273,280,51,"14",NA,NA,14
"273","Parker Hesse","TE","ATL",2.3,0.482,0.0126,1.65,2.82,-5.39,-4.67,-6.66,268,272,273,52,"14",NA,NA,21
"274","Jody Fortson","TE","KC",2.29,0.646,0.0631,1.55,2.96,-5.41,-4.78,-6.52,269,276,268,53,"14",NA,NA,35
"275","D'vonte Price","RB","FA",2.98,0.00919,0.0717,2.97,2.98,-5.42,-2.73,-8.04,270,205,324,67,"15",NA,NA,1
"276","Josiah Deguara","TE","GB",2.22,0.221,0.00663,2.06,2.58,-5.47,-4.26,-6.91,271,243,286,54,"14",NA,NA,6
"277","Chris Myarick","TE","NYG",2.22,0.706,0.00363,1.75,2.98,-5.48,-4.58,-6.51,272,263,267,55,"14",NA,NA,39
"278","Greg Dulcich","TE","DEN",2.21,0.3,0.0733,1.88,2.43,-5.48,-4.45,-7.06,273,255,291,56,"14",NA,NA,11
"279","James Cook","RB","BUF",2.9,1.41,0.0661,0.563,4.27,-5.49,-5.14,-6.75,274,305,277,68,"16",NA,NA,61
"280","Matt Breida","RB","NYG",2.84,0.459,0.119,2.22,3.41,-5.55,-3.49,-7.61,275,225,310,69,"16",NA,NA,18
"281","Trey McBride","TE","ARI",2.14,0.48,0.00761,1.36,2.58,-5.55,-4.96,-6.91,276,293,285,57,"14",NA,NA,20
"282","Pharaoh Brown","TE","CLE",2.13,0.784,0.0275,1.66,2.74,-5.56,-4.67,-6.75,277,271,278,58,"14",NA,NA,48
"283","Tre' McKitty","TE","LAC",2.1,0.413,0.00135,1.51,2.4,-5.59,-4.81,-7.09,278,280,292,59,"14",NA,NA,17
"284","Johnny Mundt","TE","MIN",2.1,0.242,0.0118,1.75,2.25,-5.59,-4.58,-7.23,279,262,297,60,"14",NA,NA,7
"285","Tyler Kroft","TE","SF",2.09,1.12,0.00865,0.624,2.9,-5.6,-5.7,-6.59,280,327,269,61,"14",NA,NA,68
"286","Andrew Beck","TE","DEN",2.08,0.29,0.026,1.9,2.3,-5.61,-4.42,-7.18,281,254,295,62,"14",NA,NA,8
"287","Marcedes Lewis","TE","GB",2.06,0.576,0.0228,1.16,2.67,-5.64,-5.17,-6.82,282,309,281,63,"14",NA,NA,29
"288","Blake Bell","TE","KC",2.03,0.427,0.0339,1.53,2.26,-5.66,-4.8,-7.23,283,279,296,64,"14",NA,NA,18
"289","Ty Montgomery","RB","NE",2.72,0.888,0.078,1.9,3.56,-5.67,-3.8,-7.46,284,229,306,70,"16",NA,NA,38
"290","Logan Thomas","TE","WAS",2,NA,0.0511,NA,NA,-5.69,NA,NA,285,NA,NA,65,"14",NA,NA,NA
"291","Anthony Firkser","TE","ATL",1.95,0.498,0.0168,1.36,2.48,-5.74,-4.96,-7,286,292,289,66,"14",NA,NA,23
"292","Mike Davis","RB","BAL",2.64,1.12,0.12,0.983,3.65,-5.75,-4.72,-7.37,287,274,302,71,"16",NA,NA,48
"293","Tanner Hudson","TE","NYG",1.93,1.24,0.0237,0.54,2.88,-5.76,-5.79,-6.6,288,333,270,67,"14",NA,NA,75
"294","Ko Kieft","TE","TB",1.91,0.346,0.0796,1.69,2.17,-5.79,-4.63,-7.31,289,269,300,68,"14",NA,NA,13
"295","Ross Dwelley","TE","SF",1.83,1.76,0.0487,0.232,4.04,-5.86,-6.09,-5.45,290,341,248,69,"14",NA,NA,88
"296","Boston Scott","RB","PHI",2.52,1.4,0.0282,0.916,4.57,-5.87,-4.79,-6.45,291,277,266,72,"16",NA,NA,60
"297","D'Ernest Johnson","RB","CLE",2.49,0.541,0.283,1.94,3.08,-5.9,-3.76,-7.94,292,228,320,73,"16",NA,NA,21
"298","Charlie Kolar","TE","BAL",1.78,NA,0.0234,NA,NA,-5.91,NA,NA,293,NA,NA,70,"14",NA,NA,NA
"299","Jacob Hollister","TE","FA",1.76,0.291,0.0777,1.41,1.91,-5.94,-4.91,-7.57,294,286,309,71,"15",NA,NA,10
"300","Josh Oliver","TE","BAL",1.68,0.782,0.0411,0.569,2.2,-6.01,-5.76,-7.29,295,329,299,72,"15",NA,NA,46
"301","Nick Vannett","TE","NO",1.64,0.454,0.0137,1.01,2.08,-6.06,-5.31,-7.41,296,317,303,73,"15",NA,NA,19
"302","Jeremy Ruckert","TE","NYJ",1.62,0.403,0.00429,1.38,1.93,-6.07,-4.95,-7.56,297,291,308,74,"15",NA,NA,15
"303","Tyler Davis","TE","GB",1.62,0.844,0.0654,0.548,2.43,-6.07,-5.78,-7.06,298,330,290,75,"15",NA,NA,56
"304","Tommy Sweeney","TE","BUF",1.55,0.636,0.0153,0.835,2.08,-6.14,-5.49,-7.41,299,321,304,76,"15",NA,NA,33
"305","Parris Campbell","WR","IND",5.55,0.527,0.116,5.04,6.34,-6.15,-4.29,-7.11,301,244,293,72,"13",NA,NA,8
"306","Reggie Gilliam","TE","BUF",1.54,NA,0.0661,NA,NA,-6.15,NA,NA,300,NA,NA,77,"15",NA,NA,NA
"307","Ty Johnson","RB","NYJ",2.21,1.9,0.14,0.869,4.39,-6.18,-4.83,-6.63,302,283,272,74,"16",NA,NA,83
"308","Kendall Blanton","TE","LAR",1.47,0.716,0.0566,0.614,2.33,-6.22,-5.71,-7.16,303,328,294,78,"15",NA,NA,42
"309","Mac Jones","QB","NE",10.3,5.4,1.21,1.87,15.5,-6.23,-13,-3.93,304,406,214,28,"12",NA,NA,98
"310","A.J. Green","WR","ARI",5.43,1.61,0.157,2.63,6.77,-6.27,-6.7,-6.67,305,348,274,73,"13",NA,NA,65
"311","Brycen Hopkins","TE","LAR",1.42,0.939,0.0752,0.516,2.16,-6.28,-5.81,-7.33,306,334,301,79,"15",NA,NA,58
"312","Corey Clement","RB","FA",2.07,1.21,0.121,0.869,3.16,-6.32,-4.83,-7.86,307,282,316,75,"16",NA,NA,52
"313","Chris Manhertz","TE","JAC",1.34,0.0795,0.0366,1.28,1.42,-6.35,-5.05,-8.07,308,300,325,80,"15",NA,NA,2
"314","Stephen Anderson","TE","ARI",1.3,0.00636,0.0894,1.3,1.31,-6.39,-5.03,-8.18,309,297,326,81,"15",NA,NA,1
"315","Equanimeous St. Brown","WR","CHI",5.27,0.917,0.0147,4.41,6.5,-6.43,-4.91,-6.95,310,285,287,74,"13",NA,NA,29
"316","Kyren Williams","RB","LAR",1.95,0.346,0.0921,1.72,2.18,-6.44,-3.99,-8.84,311,235,341,76,"16",NA,NA,10
"317","David Sills","WR","NYG",5.26,0.861,0.131,3.75,6.18,-6.44,-5.57,-7.27,312,322,298,75,"13",NA,NA,25
"318","Devin Asiasi","TE","CIN",1.22,0.612,0.00985,0.543,1.76,-6.48,-5.78,-7.72,313,331,312,82,"15",NA,NA,31
"319","Eric Tomlinson","TE","DEN",1.21,0.135,0.0464,1.11,1.3,-6.49,-5.21,-8.19,314,312,327,83,"15",NA,NA,5
"320","Chuba Hubbard","RB","CAR",1.86,0.841,0.11,1.18,3.03,-6.53,-4.52,-7.99,315,260,323,77,"16",NA,NA,32
"321","Mitchell Wilcox","TE","CIN",1.16,0.536,0.0411,0.54,1.53,-6.53,-5.79,-7.95,316,332,321,84,"15",NA,NA,26
"322","Taylor Bertolet","K","LAC",2.3,NA,0,NA,NA,-6.55,NA,NA,317,NA,NA,30,"4",NA,NA,NA
