"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"231","Patrick Queen","LB","PIT",6.06,2.06,0.188,4.63,8.46,-0.705,-0.477,-0.766,223,183,200,22,"1",NA,NA,54
"232","Dante Stills","DL","ARI",2.38,1.23,0.00585,1.42,3.79,-0.715,-1.18,-0.342,224,293,156,42,"6",NA,NA,86
"233","Derick Hall","DL","SEA",2.37,0.212,0.0102,2.21,2.5,-0.721,-0.4,-1.63,225,174,294,43,"6",NA,NA,7
"234","Sam Hubbard","DL","CIN",2.36,0.424,0.00507,2.11,2.69,-0.731,-0.501,-1.44,226,186,276,44,"6",NA,NA,19
"235","Rashan Gary","DL","GB",2.35,0.59,0.0397,1.94,3.04,-0.736,-0.665,-1.09,227,206,243,45,"6",NA,NA,36
"236","Titans","DST","TEN",4.8,0.457,0.0494,4.19,5.37,-0.76,-0.612,-1.67,228,203,298,13,"10",NA,NA,24
"237","Damar Hamlin","DB","BUF",5.54,0.887,0.0293,4.87,6.54,-0.771,-0.74,-1.21,229,220,254,27,"2",NA,NA,27
"238","John Jenkins","DL","LVR",2.32,1.56,0.000343,0.852,3.99,-0.776,-1.75,-0.144,230,388,145,46,"6",NA,NA,95
"239","Byron Murphy","DL","SEA",2.31,1.87,0.0549,1.03,3.61,-0.776,-1.57,-0.516,231,359,172,47,"6",NA,NA,98
"240","Jordan Poyer","DB","MIA",5.51,1.51,0.0448,4.33,7.24,-0.8,-1.28,-0.507,232,309,169,28,"2",NA,NA,81
"241","Browns","DST","CLE",4.75,0.329,0.174,4.24,5.09,-0.81,-0.571,-1.94,233,191,323,14,"11",NA,NA,12
"242","Matthew Stafford","QB","LAR",15.4,1.8,0.36,12.8,17.5,-0.817,-1.4,-0.691,234,327,190,17,"6",NA,NA,94
"243","Zaven Collins","DL","ARI",2.26,0.424,0.00318,2.01,2.59,-0.831,-0.601,-1.54,235,199,287,48,"6",NA,NA,19
"244","Alex Highsmith","DL","PIT",2.26,0.0707,0.00194,2.2,2.3,-0.834,-0.404,-1.83,236,176,309,49,"6",NA,NA,2
"245","Michael Danna","DL","KC",2.25,0.631,0.0458,1.9,3,-0.836,-0.704,-1.13,237,217,250,50,"6",NA,NA,40
"246","Cam Akers","RB","MIN",5.5,0.641,0.135,4.73,6.5,-0.842,0,-1.04,238,130,238,37,"15",NA,NA,8
"247","Jalen Thompson","DB","ARI",5.47,1.13,0.0635,4.85,6.79,-0.845,-0.763,-0.955,239,224,224,29,"2",NA,NA,47
"248","ZaDarius Smith","DL","DET",2.21,1,0.00331,1.33,3.32,-0.882,-1.28,-0.812,240,308,208,51,"6",NA,NA,64
"249","Shelby Harris","DL","CLE",2.21,0.933,0.00568,1.61,3.3,-0.886,-0.997,-0.83,241,264,209,52,"6",NA,NA,59
